ก.	kram0	gram;abbr. for กรัม
ที่ว่าง	Ti:2wa:N2	space;blank;gap;margin
ที่ว่างเปล่า	Ti:2wa:N2pla:w1	vacant;space;unoccupied land
ที่สอง	Ti:2sO:N4	second
ที่สังสรรค์	Ti:2saN4san4	club
ที่สาธารณะ	Ti:2sa:4Ta:0ra0na3	public land;public place
ที่สาม	Ti:2sa:m4	third
ที่สี่	Ti:2si:1	fourth
ที่สุด	Ti:2sut1	most;maximum
ที่สูง	Ti:2su:N4	upland
ที่สูบลม	Ti:2su:p1lom0	tire pump;compressor
ที่ส่วนรวม	Ti:2su:an1ru:am0	public land
ที่หก	Ti:2hok1	sixth
ที่หนีบกระดาษ	Ti:2ni:p1kra0da:t1	clip
ที่หนึ่ง	Ti:2nWN1	first
ที่หมาย	Ti:2ma:j4	aim;purpose;target;destination
ที่หลบภัย	Ti:2lop1Paj0	refuge;shelter
ที่หลับที่นอน	Ti:2lap1Ti:2nO:n0	place to sleep
ที่หวัง	Ti:2waN4	expectancy;hope;prospect;likelihood
ที่ห่างไกล	Ti:2ha:N1klaj0	faraway
ที่อยู่	Ti:2ju:1	mansion
ที่อยู่อาศัย	Ti:2ju:1a:0saj4	homestead
ที่อับ	Ti:2ap1	airless
ที่อาบน้ำ	Ti:2a:p1na:m3	bathroom;bath-tub
ที่อาศัย	Ti:2a:0saj4	residence
ที่อาศัยถาวร	Ti:2a:0saj4Ta:4wO:n0	residence
ที่อื่น	Ti:2W:n1	elsewhere
ที่อื่น ๆ	Ti:2W:n1W:n1	elsewhere
ที่เกาะ	Ti:2kO1	handle
ที่เกิด	Ti:2kx:t1	birthplace
ที่เกิดเหตุ	Ti:2kx:t1he:t1	scene;spot where the accident happened
ที่เก็บ	Ti:2kep1	storage
ที่เก็บน้ำ	Ti:2kep1na:m3	tank
ที่เก็บบรรณสาร	Ti:2kep1ban0na0sa:n4	archives
ที่เขี่ยบุหรี่	Ti:2Ki:a1bu0ri:1	ashtray
ที่เจาะรูกระดาษ	Ti:2cO1ru:0kra0da:t1	punch
ที่เชื่อถือได้	Ti:2CW:a2TW:4da:j2	reliable
ที่เที่ยว	Ti:2Ti:aw2	tourist attraction
ที่เปล่าเปลี่ยว	Ti:2plaw1pli:aw1	desolated place
ที่เผาศพ	Ti:2Paw4sop1	crematory
ที่เร้นลับ	Ti:2re:n3lap3	dark corner
ที่เหลือ	Ti:2lW:a4	remainder
ที่แจ้ง	Ti:2cE:N2	outdoor;open-air
ที่แท้	Ti:2TE:3	in fact;actually
ที่แล้ว	Ti:2lE:w3	last;previous
ที่แวดล้อม	Ti:2wE:t2lO:m3	surrounding;environment
ที่โน่น	Ti:2no:n2	over there;there
ที่โน้น	Ti:2no:n3	over there
ที่โล่ง	Ti:2lo:N2	outdoor;open-air
ที่โล่งแจ้ง	Ti:2lo:N2cE:N2	open air;public
ที่ใด	Ti:2daj0	where;anywhere
ที่ใส่กระดูก	Ti:2saj1kra0du:k1	cinerary urn
ที่ใส่น้ำ	Ti:2saj1na:m3	tank
ที่ใส่อัฐิ	Ti:2saj1at1Ti1	cinerary urn
ที่ไหน	Ti:2naj4	where;which place
ที่ไหนบ้าง	Ti:2naj4ba:N2	where else
ที่ไหนได้	Ti:2naj4da:j2	on the contrary
ที่ไหน ๆ	Ti:2naj4naj4	wherever
ที่ ๆ	Ti:2Ti:2	right place
ทึก	TWk3	water;to presume;to claim;to suppose;to make an arbitrary decision;to jump to a conclusion
ทึกทัก	TWk3Tak3	to assume
ทึนทึก	TWn0TWk3	almost old;almost ripe
ทึบ	TWp3	dense;thick;opaque (of glass, liquid, etc.);cellophane (paper);dull;stupid;stifling
ทึบแสง	TWp3sE:N4	opaque;dim
ทึม	TWm0	dark;obscure;cloudy
ทึมทึก	TWm0TWk3	almost old
ทึม ๆ	TWm0TWm0	dim;dull;obscure;dark
ทึ่ง	TWN2	surprised;impressed
ทึ่ม	TWm2	dull;stupid
ทึ้ง	TWN3	to pull;to pluck forcibly
ทื่อ	TW:2	dull;stupid;blunt;stiff;harsh;rigid;to go straight in;to rush in
ทุ	Tu3	bad;evil
ทุก	Tuk3	every;all;per;each
ทุกขณะ	Tuk3Ka0na1	all the time;always
ทุกขทรมาน	Tuk3Ka0TO:0ra0ma:n0	distress
ทุกขนิโรธ	Tuk3Ka0ni3ro:t2	extinction of suffering
ทุกขลาภ	Tuk3Ka0la:p2	gain through suffering;hard-earned reward
ทุกขสมุทัย	Tuk3Ka0sa0mu1Taj0	cause of arising of suffering
ทุกขารมณ์	Tuk3Ka:4rom0	distress;unhappiness;painful feeling
ทุกขเวทนา	Tuk3Ka0we:0Ta0na:0	suffering;painful feeling
ทุกข์	Tuk3	sufferably
ทุกข์ทรมาณ	Tuk3TO:0ra0ma:n0	suffering
ทุกข์ทรมาน	Tuk3TO:0ra0ma:n0	to suffer;distressed;tortured
ทุกข์ยาก	Tuk3ja:k2	to be in dire strait
ทุกข์ระทม	Tuk3ra0Tom0	agonized;distressed;tortured
ทุกข์ร้อน	Tuk3rO:n3	to suffer;to worry
ทุกข์สุข	Tuk3suk1	happiness and sorrow;ups and downs;presence;actuality;animation
ทุกข์เข็ญ	Tuk3Ken4	suffering
ทุกข์ใจ	Tuk3caj0	worried;distressed;troubled
ทุกคน	Tuk3Kon0	everyone
ทุกครั้ง	Tuk3KraN3	every time;always
ทุกครั้งที่	Tuk3KraN3Ti:2	when;whenever
ทุกคราว	Tuk3Kra:w0	every time;all the time
ทุกคืน	Tuk3KW:n0	every night
ทุกชนิด	Tuk3Ca0nit3	every kind
ทุกซอกทุกมุม	Tuk3sO:k2Tuk3mum0	everywhere
ทุกทาง	Tuk3Ta:N0	totally
ทุกทิศทาง	Tuk3Tit3Ta:N0	everywhere
ทุกที	Tuk3Ti:0	always;regularly
ทุกที่	Tuk3Ti:2	everywhere
ทุกท่าน	Tuk3Tan2	everyone
ทุกนิบาต	Tuk3ni3ba:t1	name of Buddhism bible
ทุกปี	Tuk3pi:0	every year
ทุกผู้ทุกนาม	Tuk3Pu:2Tuk3na:m0	everybody
ทุกฝ่าย	Tuk3fa:j1	every side;all parties
ทุกพาย	Tuk3Pa:j0	everywhere
ทุกรกิริยา	Tu3ka0ra0ki1ri3ja:0	difficult deeds;self-mortification;torment;name of a Buddha posture
ทุกราย	Tuk3ra:j0	everyone
ทุกวัน	Tuk3wan0	everyday
ทุกวันนี้	Tuk3wan0ni:3	nowadays
ทุกวี่ทุกวัน	Tuk3wi:2Tuk3wan0	every day
ทุกสิ่ง	Tuk3siN1	everything
ทุกสิ่งทุกอย่าง	Tuk3siN1Tuk3ja:N1	everything
ทุกสิ่งสรรพ	Tuk3siN1sap1	everything
ทุกหน	Tuk3hon4	every time;every place
ทุกหนทุกแห่ง	Tuk3hon4Tuk3hE:N1	everywhere
ทุกหย่อมหญ้า	Tuk3jOm1ja:2	everywhere
ทุกหัวระแหง	Tuk3hu:a4ra0hE:N4	everywhere
ทุกอย่าง	Tuk3ja:N1	everything;every kind
ทุกเดือน	Tuk3dW:an0	monthly
ทุกเที่ยว	Tuk3Ti:aw2	every time
ทุกเมื่อ	Tuk3mW:a2	every time
ทุกเมื่อเชื่อวัน	Tuk3mW:a2CW:a2wan0	every time
ทุกเวลา	Tuk3we:0la:0	anytime
ทุกแง่ทุกมุม	Tuk3NE:2Tuk3mum0	every aspect;seen from all angles
ทุกแห่ง	Tuk3hEN1	everywhere
ทุก ๆ ชีวิต	Tuk3Tuk3Ci:0wit3	all of life
ทุก ๆ ที่	Tuk3Tuk3Ti:2	everywhere
ทุก ๆ	Tuk3Tuk3	every
ทุคตะ	Tu3Ka0ta1	poor;distressed
ทุคติ	Tu3Ka0ti1	hell;evil deeds
ทุงเทง	TuN0Te:N0	Adenosma hirsutum Kurz.
ทุจริต	Tut3ca0rit1	dishonest;to cheat;to betray;to corrupt
ทุติยภูมิ	Tu3ti1ja0Pu:m0	secondary cell;secondary coil
ทุทรรศนนิยม	Tu3Tat3sa0na0ni3jom0	pessimism;cynicism;nihilism
ทุน	Tun0	capital;asset;fund;investment;grant;stipend
ทุนการศึกษา	Tun0ka:n0sWk1sa:4	scholarship
ทุนจดทะเบียน	Tun0cot1Ta0bi:an0	authorized capital;registered capital stocks
ทุนทรัพย์	Tun0na0sap3	capital;asset;property;resources;principal;venture capital
ทุนนอน	Tun0nO:n0	frozen capital;idle capital
ทุนนิยม	Tun0ni3jom0	capitalism
ทุนรอน	Tun0rO:n0	capital;fund;asset;money;reserve;fund
ทุนรัฐบาล	Tun0rat3Ta0ba:n0	government scholarship
ทุนวิจัย	Tun0wi3caj0	research fund
ทุนสำรอง	Tun0sam4rO:N0	reserves;reserved fund
ทุนสำรองเงินตรา	Tun0sam4rO:N0Nxn0tra:0	reserved fund
ทุนส่วนตัว	Tun0su:an1tu:a0	private fund
ทุนหมุนเวียน	Tun0mun4wi:an0	working capital;circulating fund
ทุนิยม	Tu3ni3jom0	pessimism;cynicism;nihilism
ทุนเดิม	Tun0dx:m0	original capital
ทุนเรือนหุ้น	Tun0rW:an0hun2	capital stock
ทุนเล่าเรียน	Tun0law2ri:an0	scholarship
ทุนเล่าเรียนหลวง	Tun0law2ri:an0lu:aN4	king's scholarship
ทุบ	Tup3	to pound;to smash;to beat
ทุบตี	Tup3ti:0	to beat;to hit
ทุพพล	Tup3Pon0	weak
ทุพพลภาพ	Tup3Pon0la0Pa:p2	disabled;crippled
ทุพภิกขภัย	Tup3Pik3Ka0Paj0	famine;starvation
ทุพภิกขันดรกัป	Tup3Pik3Kan4da0ra0kap1	famine period
ทุพภิกขันดรกัปป์	Tup3Pik3Kan4da0ra0kap1	famine period
ทุย	Tuj0	oval;buffalo
ทุรกรรม	Tu3ra0kam0	delinquency
ทุรกันดาร	Tu3ra0kan0da:n0	distant;remote
ทุรคม	Tu3ra0Kom0	distant;remote
ทุรชน	Tu3ra0Con0	villain;scoundrel
ทุรชาติ	Tu3ra0Ca:t2	wretched race;bad strain
ทุรนทุราย	Tu3ron0Tu3ra:j0	to fidget
ทุรพล	Tu3ra0Pon0	weak;thin;disheartened
ทุรลักษณ์	Tu3ra0lak3	evil-looking;ominous
ทุราคม	Tu3ra:0Kom0	remote;difficult to approach;inaccessible
ทุราจาร	Tu3ra:0ca:n0	evil conduct
ทุเรศ	Tu3re:t2	shameful;awful;dreadful;pitiful;obscene
ทุเรศทุรัง	Tu3re:t2Tu3raN0	shabby;wretched;pitiable
ทุเรียน	Tu3ri:an0	durian
ทุเลา	Tu3law0	to relieve
ทุโภชนาการ	Tu3Po:t2Ca0na:0ka:n0	malnutrition
ทุ่ง	TuN2	field;farm;meadow;pasture
ทุ่งกว้าง	TuN2kwa:N2	field
ทุ่งข้าว	TuN2Ka:w2	field
ทุ่งนา	TuN2na:0	field;rice field;farm;meadow;pasture
ทุ่งพระเมรุ	TuN2Pra0me:0ru3	Phra Men Ground
ทุ่งหญ้า	TuN2ja:2	grassland;prairie;meadow
ทุ่งเลี้ยงสัตว์	TuN2li:aN3sat1	grassland;meadow;prairie
ทุ่งโล่ง	TuN2lo:N2	plain;meadow;prairie
ทุ่น	Tun2	pontoon;buoy;float;bob;bobber
ทุ่นกำลัง	Tun2kam0laN0	labor-saving
ทุ่นค่าใช้จ่าย	Tun2Ka:2Caj3ca:j1	to reduce the expenses
ทุ่นตกปลา	Tun2tok1pla:0	quill-bob
ทุ่นระเบิด	Tun2ra0bx:t1	underwater mine
ทุ่นลอย	Tun2lO:j0	buoy;float
ทุ่นอวน	Tun2u:an0	float
ทุ่นเงิน	Tun2Nxn0	to economize;to save money
ทุ่นเบ็ด	Tun2bet1	quill;float for a fishing line
ทุ่นเวลา	Tun2we:0la:0	to save time
ทุ่นแรง	Tun2rE:N0	labor-saving
ทุ่ม	Tum2	to do one's best;to use up;to throw;put in;hour (counting from 6 P.M.)
ทุ่มตลาด	Tum2ta0la:t1	dumping;to import goods in order to sell at lower price;to flood the market with cheap items;to lower the price to get hold of the market
ทุ่มทุน	Tum2Tun0	to dump money
ทุ่มน้ำหนัก	Tum2nam3nak1	to put the weight;shot put
ทุ่มเงิน	Tum2Nxn0	to pay lots of money
ทุ่มเถียง	Tum2Ti:aN4	to have an argument
ทุ่มเท	Tum2Te:0	to exert;to dedicate
ทุ่มเทใจ	Tum2Te:0caj0	to cheer
ทุ่มโถม	Tum2To:m4	to overwhelm
ทุ้ง	TuN3	to pound;to hit
ทุ้ม	Tum3	bass;low tone;deep sound
ทุ้ย	Tuj3	to drivel;to deceive;to speak unthinkingly
ทูก	Tu:k2	boat
ทูต	Tu:t2	ambassador;diplomat;envoy;representative;minister
ทูตสวรรค์	Tu:t2sa0wan4	angel
ทูตสันถวไมตรี	Tu:t2san4Ta0wa0maj0tri:0	goodwill ambassador
ทูตา	Tu:0ta:0	ambassador
ทูตานุทูต	Tu:0ta:0nu3Tu:t2	diplomat;envoy;representative;minister;ambassador
ทูน	Tu:n0	to carry sth over the head;to uplift
ทูนหัว	Tu:n0hu:a4	to give;beloved;darling
ทูบ	Tu:p2	shaft;pole;axle
ทูมทาม	Tu:m0Ta:m0	loose;slack;lax;enlarged
ทูล	Tu:n0	to inform;to report
ทูลถาม	Tu:n0Ta:m4	to ask
ทูลเกล้าทูลกระหม่อมถวาย	Tu:n0kla:w2Tu:n0kra0mOm1Ta0wa:j4	to offer;to give
ทูลเกล้าฯ ถวาย	Tu:n0kla:w2Ta0wa:j4	to offer;to give
ทูลเกล้าฯ	Tu:n0kla:w2	to offer;to give
ทูเลียม	Tu:0li:am2	thulium
ทู่	Tu:2	unsharpened;blunt;dull;unpointed;round
ทู่ซี้	Tu:2si:3	to persist;to fight;to struggle;to continue;to keep on
ทู้	Tu:3	to submit;to surrender;to obey
ทแกล้ว	Ta0klE:w2	soldier;brave
ทแยง	Ta0jE:N0	oblique;diagonal;askew;slanted
ทแยงมุม	Ta0jE:N0mum0	diagonal;on the bias
ทโมน	Ta0mo:n0	overgrown;big
ท่วงทำนอง	Tu:aN2Tam0nO:N0	tune;tone;harmony;melody
ท่วงที	Tu:aN2Ti:0	attitude;tendency;sign;manner
ท่วงท่า	Tu:aN2Ta:2	manner;attitude;posture;gesture;action;motion
ท่วม	Tu:am2	to flood
ท่วมท้น	Tu:am2Ton3	to overwhelm;abundant
ท่วมหัว	Tu:am2hu:a4	to overflow the head;very much;too much
ท่อ	TO:2	tube;pipe
ท่อง	TON2	to wander;to wade;to recite;to memorize
ท่องคาถา	TON2Ka:0Ta:4	to chant continuously
ท่องจำ	TON2cam0	to memorize
ท่องบ่น	TON2bon1	to recite;to memorize
ท่องสื่อ	TON2sW:1	Chinese translator in the old time
ท่องหนังสือ	TON2naN3sW:4	to learn;to study;to memorize
ท่องเที่ยว	TON2Ti:aw2	to travel;to go sightseeing
ท่อถ้อย	TO:2TOj2	to debate;to answer
ท่อน	TOn2	bit;piece;strip;section;fraction
ท่อนซุง	TOn2suN0	log;timber
ท่อนหัว	TOn2hu:a4	head portion
ท่อนไม้	TOn2ma:j3	log;piece of wood
ท่อน้ำ	TO:2na:m3	water pipe
ท่อพลาสติก	TO:2Pla:t3sa0tik1	plastic tube
ท่อม ๆ	TOm2TOm2	to walk for no special reason
ท่อยาง	TO:2ja:N0	rubber hose;rubber tube
ท่อระบายน้ำ	TO:2ra0ba:j0na:m3	drain;ditch
ท่อระบายอากาศ	TO:2ra0ba:j0a:0ka:t1	air-vent-pipe
ท่อลม	TO:2lom0	air hose
ท่อหายใจ	TO:2ha:j4caj0	tracheotomy tube;snorkel
ท่อแก๊ส	TO:2kE:t3	gas pipe
ท่อไอเสีย	TO:2aj0si:a4	exhaust pipe
ท่า	Ta:2	posture;pose;manner;wharf;dock;quay;pier;port;harbour;ferry
ท่าจอดเรือ	Ta:2cO:t1rW:a0	harbour;port;haven;wharf;dock
ท่าจะ	Ta:2ca1	possibly;perhaps
ท่าช้างประสานงา	Ta:2Ca:N3pra0sa:n4Na:0	Thai dancers posture
ท่าทาง	Ta:2Ta:N0	demeanor;manner;look;appearance;style;gesture;action
ท่าทิ้งมะพร้าวห้าว	Ta:2TiN3ma0Pra:w3ha:w2	posture of diving
ท่าที	Ta:2Ti:0	attitude;reaction;manner
ท่าน	Tan2	(pronoun) you
ท่านชาย	Tan2Ca:j0	prince
ท่านผู้หญิง	Tan2Pu:2jiN4	lady;madam;first lady
ท่านหญิง	Tan2jiN4	princess
ท่านอนคว่ำ	Ta:2nO:n0Kwam2	lying on face downward
ท่านอนตะแคง	Ta:2nO:n0ta0KE:N0	lying on side
ท่านอนหงาย	Ta:2nO:n0Na:j4	lying on back
ท่าน้ำ	Ta:2na:m3	waterside;landing stage with steps;harbour
ท่ามกลาง	Ta:m2kla:N0	among;midst
ท่ามาก	Ta:2ma:k2	to hesitate;to turn aside;to delay
ท่าวิดพื้น	Ta:2wit3PW:n3	push-up
ท่าอากาศยาน	Ta:2a:0ka:t1sa0ja:n0	airport
ท่าอากาศยานกรุงเทพ	Ta:2a:0ka:t1sa0ja:n0kruN0Te:p2	Bangkok International Airport
ท่าเดียว	Ta:2di:aw0	only
ท่าเทียบเรือ	Ta:2Ti:ap2rW:a0	harbour;port;wharf;dock
ท่าเรือ	Ta:2rW:a0	harbour;port;wharf
ท่าเรือจ้าง	Ta:2rW:a0ca:N2	ferry landing
ท้น	Ton3	to protrude;to overflow
ท้วง	Tu:aN3	to protest;to oppose;to criticize
ท้วงติง	Tu:aN3tiN0	to warn;to protest;to object;to criticize
ท้วม	Tu:am3	plump;fat
ท้วม ๆ	Tu:am3Tu:am3	plump;full;round;moderate
ท้อ	TO:3	in low spirits;downhearted;to peach
ท้อง	TO:N3	abdomen;stomach;belly
ท้องกาง	TO:N3ka:N0	inflate belly;stuff belly
ท้องขึ้น	TO:N3KWn2	to have flatulence;bloat
ท้องขึ้นท้องพอง	TO:N3KWn2TO:N3PO:N0	to have flatulence
ท้องขึ้นท้องเฟ้อ	TO:N3KWn2TO:N3fx:3	to have flatulence
ท้องคลอง	TO:N3KlO:N0	canal bed;river bed
ท้องคัดท้องแข็ง	TO:N3Kat3TO:N3KEN4	rock with laughter
ท้องคุ้ง	TO:N3KuN3	concave bank of river
ท้องฉนวน	TO:N3Ca0nu:an4	path partitioned with curtains for ladies in the palace
ท้องตรา	TO:N3tra:0	general order;circular order
ท้องตลาด	TO:N3ta0la:t1	market place
ท้องถนน	TO:N3Ta0non4	road;highway
ท้องถิ่น	TO:N3Tin1	locality;region;local
ท้องทะเล	TO:N3Ta0le:0	open sea;sea bed
ท้องที่	TO:N3Ti:2	locality;area;local
ท้องทุ่ง	TO:N3TuN2	field;open field
ท้องนา	TO:N3na:0	paddy field
ท้องน่อง	TO:N3nON2	calf
ท้องน้อย	TO:N3nO:j3	underbelly;lower abdomen
ท้องน้ำ	TO:N3na:m3	water area
ท้องผุท้องพัง	TO:N3Pu1TO:N3PaN0	putrid
ท้องผูก	TO:N3Pu:k1	constipation;to suffer from constipation
ท้องพระคลัง	TO:N3Pra0KlaN0	treasury;national treasury
ท้องพระโรง	TO:N3Pra0ro:N0	throne room;throne hall
ท้องพลุ	TO:N3Plu3	kind of Thai snack
ท้องพอง	TO:N3PO:N0	to have a distended stomach
ท้องฟ้า	TO:N3fa:3	sky
ท้องมาน	TO:N3ma:n0	dropsy;abdominal edema
ท้องร่วง	TO:N3ru:aN2	to have diarrhea
ท้องร่อง	TO:N3rON2	gutter;ditch
ท้องร้อง	TO:N3rO:N3	(stomach) to rumble with hunger
ท้องว่าง	TO:N3wa:N2	to have empty stomach
ท้องสนามหลวง	TO:N3sa0na:m4lu:aN4	Phra Men Ground
ท้องสาว	TO:N3sa:w4	first pregnancy
ท้องสำนวน	TO:N3sam4nu:an0	content;essence;substance
ท้องหมา	TO:N3ma:4	deflated belly
ท้องหมู	TO:N3mu:4	potbelly
ท้องอัสดงคต	TO:N3at1sa0doN0Kot3	lotus-figure at the base of temple's wall
